,ars,n,type,algorithm
0,0.4285078451138889,20,scaled,kmeans
1,0.43260837529962665,40,scaled,kmeans
2,0.4842245227394598,60,scaled,kmeans
3,0.4898322577810055,80,scaled,kmeans
4,0.48931404563011716,100,scaled,kmeans
5,0.47760192106755783,120,scaled,kmeans
6,0.4723877399448925,140,scaled,kmeans
7,0.4711733926598228,160,scaled,kmeans
0,0.4285078451138889,20,raw,kmeans
1,0.43260837529962665,40,raw,kmeans
2,0.4842245227394598,60,raw,kmeans
3,0.4898322577810055,80,raw,kmeans
4,0.48931404563011716,100,raw,kmeans
5,0.47760192106755783,120,raw,kmeans
6,0.4723877399448925,140,raw,kmeans
7,0.4711733926598228,160,raw,kmeans
