,ars,n,type,algorithm
0,0.30446856594200755,20,scaled,ward
1,0.3283300603935651,40,scaled,ward
2,0.3377913469943614,60,scaled,ward
3,0.34144640085161454,80,scaled,ward
4,0.3373763914229342,100,scaled,ward
5,0.33345500768985425,120,scaled,ward
6,0.3301416409646249,140,scaled,ward
7,0.32618258871129036,160,scaled,ward
8,0.32037487284166904,180,scaled,ward
9,0.31712695709718225,200,scaled,ward
10,0.31505447891155575,220,scaled,ward
11,0.3105036265164663,240,scaled,ward
12,0.30766219722835925,260,scaled,ward
13,0.30535194595404136,280,scaled,ward
14,0.3030302589139181,300,scaled,ward
15,0.30139380223228907,320,scaled,ward
16,0.2998125818040773,340,scaled,ward
17,0.29835983693289775,360,scaled,ward
18,0.2974907592639507,380,scaled,ward
19,0.29609546687876126,400,scaled,ward
0,0.33388572583311926,20,raw,ward
1,0.3577095632869761,40,raw,ward
2,0.35499551429083287,60,raw,ward
3,0.35600572371335837,80,raw,ward
4,0.3530111562685368,100,raw,ward
5,0.3454433939871454,120,raw,ward
6,0.3393154095859945,140,raw,ward
7,0.33244980990761946,160,raw,ward
8,0.3267748052608657,180,raw,ward
9,0.3235928680361252,200,raw,ward
10,0.3194100272631548,220,raw,ward
11,0.3145112882954562,240,raw,ward
12,0.31118513416522786,260,raw,ward
13,0.30761352112709617,280,raw,ward
14,0.30410221248436203,300,raw,ward
15,0.30205268092954607,320,raw,ward
16,0.3001700081580006,340,raw,ward
17,0.2983789150479769,360,raw,ward
18,0.29674144567360233,380,raw,ward
19,0.2951554391118367,400,raw,ward
