,ars,ami,n,type,algorithm
0,0.21700982874895017,0.4564373485233038,20,scaled,kmeans
1,0.3124053965377613,0.6182253970950077,40,scaled,kmeans
2,0.3915842826724136,0.6925170996161562,60,scaled,kmeans
3,0.4063296900793722,0.716192997510331,80,scaled,kmeans
4,0.4171418768969258,0.7329119750472304,100,scaled,kmeans
5,0.4274746438247733,0.743154791207948,120,scaled,kmeans
6,0.4127065563537218,0.7425611216759914,140,scaled,kmeans
7,0.41748643131051777,0.751237598158284,160,scaled,kmeans
0,0.41491772039122077,0.6183254096399798,20,raw,kmeans
1,0.4190491326379221,0.6831335810245623,40,raw,kmeans
2,0.47232166715746576,0.7296289042534101,60,raw,kmeans
3,0.48469346202890956,0.7488651182123983,80,raw,kmeans
4,0.48143312421759965,0.7580551577709647,100,raw,kmeans
5,0.4636672245889042,0.7586780265008704,120,raw,kmeans
6,0.45949648774207036,0.7633600819980506,140,raw,kmeans
7,0.4552751400598972,0.7668698990322658,160,raw,kmeans
