,region,topic_order,importance,topic_name,top_words,abs_imp,base_rate,n_topics,r2,voxels,Color
3,2,3,-0.0018512699050050546,topic11,memory events imagery,0.0018512699050050546,0.013773418761626372,60,0.08160275653763563,21207,0.05084745762711865
7,2,7,-0.0015305535972233203,topic15,motor movement movements,0.0015305535972233203,0.013773418761626372,60,0.08160275653763563,21207,0.11864406779661017
16,2,16,-0.0011478768448240386,topic23,social empathy moral,0.0011478768448240386,0.013773418761626372,60,0.08160275653763563,21207,0.2711864406779661
17,2,17,-0.002532436078860979,topic24,stimulation somatosensory tms,0.002532436078860979,0.013773418761626372,60,0.08160275653763563,21207,0.288135593220339
18,2,18,-0.0010283614446275097,topic25,network resting default,0.0010283614446275097,0.013773418761626372,60,0.08160275653763563,21207,0.3050847457627119
29,2,29,0.00027227185088937836,topic35,emotional emotion negative,0.00027227185088937836,0.013773418761626372,60,0.08160275653763563,21207,0.4915254237288136
31,2,31,0.002503623751864638,topic37,language speech production,0.002503623751864638,0.013773418761626372,60,0.08160275653763563,21207,0.5254237288135594
32,2,32,0.002365880524382589,topic38,reading word words,0.002365880524382589,0.013773418761626372,60,0.08160275653763563,21207,0.5423728813559322
39,2,39,0.004414404278727001,topic44,inhibition control inhibitory,0.004414404278727001,0.013773418761626372,60,0.08160275653763563,21207,0.6610169491525424
40,2,40,-0.0045354363582523075,topic45,volume gray voxel,0.0045354363582523075,0.013773418761626372,60,0.08160275653763563,21207,0.6779661016949152
46,2,46,0.0033238984348833277,topic50,fear anxiety threat,0.0033238984348833277,0.013773418761626372,60,0.08160275653763563,21207,0.7796610169491526
49,2,49,0.0003432869923410512,topic53,food taste body,0.0003432869923410512,0.013773418761626372,60,0.08160275653763563,21207,0.8305084745762712
53,2,53,0.005598978554697011,topic57,memory performance cognitive,0.005598978554697011,0.013773418761626372,60,0.08160275653763563,21207,0.8983050847457628
55,2,55,0.008005197037301544,topic59,pain painful stimulation,0.008005197037301544,0.013773418761626372,60,0.08160275653763563,21207,0.9322033898305084
303,7,3,-0.0006267206255669009,topic11,memory events imagery,0.0006267206255669009,0.007088935547995648,60,0.10721195257146421,65376,0.05084745762711865
307,7,7,0.004204405841413401,topic15,motor movement movements,0.004204405841413401,0.007088935547995648,60,0.10721195257146421,65376,0.11864406779661017
316,7,16,-0.0011661710980612864,topic23,social empathy moral,0.0011661710980612864,0.007088935547995648,60,0.10721195257146421,65376,0.2711864406779661
317,7,17,0.0019752592042745895,topic24,stimulation somatosensory tms,0.0019752592042745895,0.007088935547995648,60,0.10721195257146421,65376,0.288135593220339
318,7,18,0.00045585638417246124,topic25,network resting default,0.00045585638417246124,0.007088935547995648,60,0.10721195257146421,65376,0.3050847457627119
329,7,29,0.0004085614034292547,topic35,emotional emotion negative,0.0004085614034292547,0.007088935547995648,60,0.10721195257146421,65376,0.4915254237288136
331,7,31,0.0012353323613049521,topic37,language speech production,0.0012353323613049521,0.007088935547995648,60,0.10721195257146421,65376,0.5254237288135594
332,7,32,-0.0007706789736565492,topic38,reading word words,0.0007706789736565492,0.007088935547995648,60,0.10721195257146421,65376,0.5423728813559322
