,region,topic_order,importance,topic_name,top_words,abs_imp,base_rate,n_topics,r2,voxels,Color
181,5,1,-0.002057619344553195,topic1,stress awareness experience,0.002057619344553195,0.017846203462861393,60,0.12466105448377944,3723,0.01694915254237288
184,5,4,-0.0015835013054693128,topic12,object objects visual,0.0015835013054693128,0.017846203462861393,60,0.12466105448377944,3723,0.06779661016949153
188,5,8,-0.0013855422522214577,topic16,individuals cognitive individual,0.0013855422522214577,0.017846203462861393,60,0.12466105448377944,3723,0.13559322033898305
194,5,14,-0.001178577820845968,topic21,human humans organization,0.001178577820845968,0.017846203462861393,60,0.12466105448377944,3723,0.23728813559322035
195,5,15,0.003618146529831186,topic22,network role evidence,0.003618146529831186,0.017846203462861393,60,0.12466105448377944,3723,0.2542372881355932
198,5,18,-0.0025294601750371656,topic25,network resting default,0.0025294601750371656,0.017846203462861393,60,0.12466105448377944,3723,0.3050847457627119
200,5,20,0.0011309596204384185,topic27,sentences comprehension sentence,0.0011309596204384185,0.017846203462861393,60,0.12466105448377944,3723,0.3389830508474576
202,5,22,-0.0026385069126800336,topic29,reward anticipation monetary,0.0026385069126800336,0.017846203462861393,60,0.12466105448377944,3723,0.3728813559322034
204,5,24,-0.0005298881614288372,topic30,feedback error learning,0.0005298881614288372,0.017846203462861393,60,0.12466105448377944,3723,0.4067796610169492
205,5,25,0.00036976752695034497,topic31,pd controls disease,0.00036976752695034497,0.017846203462861393,60,0.12466105448377944,3723,0.423728813559322
213,5,33,0.003888423659292997,topic39,conflict interference control,0.003888423659292997,0.017846203462861393,60,0.12466105448377944,3723,0.559322033898305
214,5,34,-0.0001684696001444011,topic4,decision choice risk,0.0001684696001444011,0.017846203462861393,60,0.12466105448377944,3723,0.576271186440678
215,5,35,0.0028757286062095315,topic40,semantic words word,0.0028757286062095315,0.017846203462861393,60,0.12466105448377944,3723,0.5932203389830508
217,5,37,0.0013643582280188265,topic42,time sustained delay,0.0013643582280188265,0.017846203462861393,60,0.12466105448377944,3723,0.6271186440677966
225,5,45,0.003977618486322291,topic5,reasoning rule rules,0.003977618486322291,0.017846203462861393,60,0.12466105448377944,3723,0.7627118644067796
227,5,47,-0.001973066492641287,topic51,ptsd social game,0.001973066492641287,0.017846203462861393,60,0.12466105448377944,3723,0.7966101694915254
228,5,48,-0.00012609178325349968,topic52,asd autism social,0.00012609178325349968,0.017846203462861393,60,0.12466105448377944,3723,0.8135593220338984
229,5,49,-0.0017362328783838512,topic53,food taste body,0.0017362328783838512,0.017846203462861393,60,0.12466105448377944,3723,0.8305084745762712
230,5,50,-0.000793303277998849,topic54,age adults children,0.000793303277998849,0.017846203462861393,60,0.12466105448377944,3723,0.847457627118644
236,5,56,-0.0007447092503504356,topic6,visual auditory sensory,0.0007447092503504356,0.017846203462861393,60,0.12466105448377944,3723,0.9491525423728814
237,5,57,-4.228737999809797e-05,topic7,spatial location mental,4.228737999809797e-05,0.017846203462861393,60,0.12466105448377944,3723,0.9661016949152542
239,5,59,0.00022267688921260198,topic9,repetition priming hearing,0.00022267688921260198,0.017846203462861393,60,0.12466105448377944,3723,1.0
241,6,1,7.231320049995298e-05,topic1,stress awareness experience,7.231320049995298e-05,0.04862069916920265,60,0.0764766036018664,1167,0.01694915254237288
